tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Esophagus-Mucosa	X626.1	-1.90227e16	0.00000e+0	C3orf14	Irregular menstrual cycle/bleeding	3.26884e-2	322	7657
Esophagus-Mucosa	X611.11	8.39811e15	0.00000e+0	C3orf14	Mammographic microcalcification	3.26884e-2	99	8102
Esophagus-Mucosa	X626.11	-1.08514e16	0.00000e+0	C3orf14	Absent or infrequent menstruation	3.26884e-2	65	7657
Esophagus-Mucosa	X626.13	1.35364e16	0.00000e+0	C3orf14	Irregular menstrual cycle	3.26884e-2	116	7657
Esophagus-Muscularis	X610.1	5.50844e15	0.00000e+0	CALML3	Cystic mastopathy	5.06320e-2	156	7907
Liver	X625.1	-1578750000000	0.00000e+0	ADAM8	Dyspareunia	4.50417e-3	32	8364
SmallIntestine-TerminalIleum	X601.11	-2.74423e15	0.00000e+0	BRK1	Acute prostatitis	1.50622e-2	20	7335
Thyroid	X292.2	8.04923e15	0.00000e+0	AKR7A2	Mild cognitive impairment	1.57282e-2	21	6654
Stomach	X499	5.06558	6.06389e-13	CAPZA2	Cystic fibrosis	1.19509e-2	71	9033
Brain-Hippocampus	X250.1	2.13161	2.56500e-9	C2	Type 1 diabetes	1.10096e-3	816	4936
Brain-Cortex	X250.14	7.26367	7.08746e-9	BRD2	Type 1 diabetes with neurological manifestations	3.08445e-2	168	4936
Testis	X362.22	-1.56298	1.10669e-8	ARMS2	Macular degeneration, wet	4.20083e-1	40	7724
Lung	X872	5.70859	1.39017e-8	C11orf74	Traumatic amputation	1.80428e-2	46	7534
Esophagus-GastroesophagealJunction	X499	-6.03666	1.44707e-8	CAPZA2	Cystic fibrosis	1.17600e-3	71	9033
Brain-Cerebellum	X872	31.3714	2.06392e-8	ARHGAP31	Traumatic amputation	6.28591e-2	46	7534
Brain-Putamen-basalganglia	X253.3	-0.118887	3.24080e-8	ARRB1	Diabetes insipidus	1.79417e-2	27	7558
Brain-Cortex	X250.1	3.1295	5.45193e-8	BRD2	Type 1 diabetes	3.08445e-2	816	4936
Brain-CerebellarHemisphere	X368.9	-0.42405	5.90409e-8	ASB14	Subjective visual disturbances	2.57135e-1	79	8248
AdrenalGland	X717	96.3071	7.61001e-8	BCKDK	Polymyalgia Rheumatica	1.01807e-1	58	9052
Liver	X300	-4.20117	8.58484e-8	ATF7IP	Anxiety, phobic and dissociative disorders	2.66133e-2	1305	5392
Testis	X580.4	-2.99081	1.00459e-7	AP1M1	Renal sclerosis, NOS	7.79895e-2	52	5644
Esophagus-Mucosa	X345.12	40.5013	1.14933e-7	APOBEC1	Partial epilepsy	4.56934e-2	122	6544
Skin-NotSunExposed-Suprapubic	X355.1	-22.1285	1.24005e-7	AVIL	Chronic pain syndrome	5.19773e-3	91	7504
Brain-Putamen-basalganglia	X755	33.1574	1.25423e-7	AFM	Congenital anomalies of limbs	4.33204e-3	36	8811
Brain-Cerebellum	X574.11	3.363	1.29934e-7	C1orf131	Cholelithiasis with acute cholecystitis	3.24641e-2	25	8056
Pancreas	X327.32	-1.78551	1.34441e-7	ANKAR	Obstructive sleep apnea	6.28782e-3	564	6920
Thyroid	X279.11	-4.34105	1.53685e-7	C1QTNF7	Deficiency of humoral immunity	1.95718e-2	57	8183
Testis	X765	8.4878	1.81720e-7	AGO3	Cervical radiculitis	9.54960e-3	131	7889
Brain-Cerebellum	X513.31	0.451198	1.92132e-7	C16orf96	Apnea	1.07497e-2	32	7861
Skin-SunExposed-Lowerleg	X523.31	-21.6497	1.95808e-7	ATP5B	Acute periodontitis	3.87967e-3	28	8243
Colon-Transverse	X446.5	-2.85448	2.39370e-7	CARD8	Giant cell arteritis	1.17813e-1	23	6676
Esophagus-Mucosa	X367.8	-7.26567	2.53774e-7	CALML4	Hypermetropia	1.52786e-3	24	8335
Brain-Hippocampus	X747.13	2.54126	2.78596e-7	ANKRD13B	Congenital anomalies of great vessels	4.39430e-3	58	8634
Esophagus-Mucosa	X930	7.77786	2.98474e-7	ACOT12	Allergic reaction to food	1.53243e-2	32	7230
Skin-NotSunExposed-Suprapubic	X965	14.538	2.98750e-7	ATF5	Poisoning by analgesics, antipyretics, and antirheumatics	1.63008e-2	30	6561
Brain-Hippocampus	X250.14	4.64444	3.53082e-7	C2	Type 1 diabetes with neurological manifestations	1.10096e-3	168	4936
Thyroid	X580.4	-3.79455	3.84965e-7	AP1M1	Renal sclerosis, NOS	3.01181e-2	52	5644
Adipose-Subcutaneous	X446.5	-3.51245	3.96207e-7	CARD8	Giant cell arteritis	1.32338e-1	23	6676
Breast-MammaryTissue	X930	2.59954	3.99793e-7	ANKRD11	Allergic reaction to food	7.90177e-3	32	7230
Artery-Aorta	X969	-3.3715	4.31860e-7	ATP7B	Poisoning by psychotropic agents	3.12532e-1	25	6561
Artery-Coronary	X969	-3.54271	4.40816e-7	ATP7B	Poisoning by psychotropic agents	2.40735e-1	25	6561
Stomach	X480.12	2.73521	4.81232e-7	CAPZA2	Pseudomonal pneumonia	1.19509e-2	105	6217
Brain-Cerebellum	X969	-8.98578	4.85853e-7	ATP7B	Poisoning by psychotropic agents	3.06739e-2	25	6561
Brain-FrontalCortex-BA9	X724	-5.79819	4.99677e-7	AIRE	Other and unspecified disorders of back	1.18726e-2	46	6852
