tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Nerve_Tibial	X270.34	-7.19075	8.93804e-10	PPP4R4	Alpha-1-antitrypsin deficiency	6.01584e-2	2.52877e-1	52	21469
Spleen	X331.9	-3.32099	2.41327e-8	TROVE2	Cerebral degeneration, unspecified	7.09087e-2	6.68750e-1	149	17257
Ovary	X250.13	1.33283	5.19520e-8	PRSS16	Type 1 diabetes with ophthalmic manifestations	1.17283e-1	1.46999e+0	157	13897
Testis	X758	2.24192	1.08904e-7	LEPROTL1	Chromosomal anomalies and genetic disorders	5.98903e-2	1.65134e+0	68	22639
Pancreas	X766	-0.513955	1.26900e-7	CCDC114	Neuralgia, neuritis, and radiculitis NOS	2.61064e-1	8.11066e-1	611	20431
Brain_Cerebellum	X250.13	0.929687	1.27706e-7	PRSS16	Type 1 diabetes with ophthalmic manifestations	1.99961e-1	1.41970e+0	157	13897
Adrenal_Gland	X250.13	1.06809	1.81784e-7	PRSS16	Type 1 diabetes with ophthalmic manifestations	1.84906e-1	1.43832e+0	157	13897
Pancreas	X427.7	-1.02434	2.42267e-7	TACR2	Tachycardia NOS	8.65602e-2	8.88029e-1	2519	10731
Nerve_Tibial	X274.1	2.23054	2.70080e-7	SLC2A9	Gout	1.35026e-2	1.16580e+0	1145	21410
Uterus	X250.13	1.10493	2.71488e-7	PRSS16	Type 1 diabetes with ophthalmic manifestations	1.01072e-1	1.41716e+0	157	13897
Brain_Caudate_basal_ganglia	X427.7	-2.40178	2.98380e-7	TACR2	Tachycardia NOS	1.29970e-1	8.88196e-1	2519	10731
Adrenal_Gland	X701	1.08667	3.15830e-7	TMEM98	Other hypertrophic and atrophic conditions of skin	1.13605e-1	1.19868e+0	851	20618
Skin_Sun_Exposed_Lower_leg	X395.1	0.955275	3.21488e-7	NIT2	Nonrheumatic mitral valve disorders	5.49945e-2	1.14072e+0	1852	16709
Artery_Tibial	X701.1	3.50688	3.55875e-7	BRD9	Keratoderma, acquired	1.09212e-2	1.49677e+0	62	20618
Brain_Hypothalamus	X722.9	-1.21723	3.65388e-7	HS3ST1	Other and unspecified disc disorder	2.05800e-1	5.46430e-1	68	17801
Muscle_Skeletal	X701.1	8.01443	3.98600e-7	BRD9	Keratoderma, acquired	1.09172e-2	1.49300e+0	62	20618
Brain_Cerebellum	X204.11	-1.4153	5.29056e-7	TMEM30A	Lymphoid leukemia, acute	8.39915e-2	7.10216e-1	155	21574
Cells_Transformed_fibroblasts	X701.1	2.89484	5.48161e-7	BRD9	Keratoderma, acquired	4.32605e-2	1.50891e+0	62	20618
Thyroid	X331.9	-13.3982	5.62730e-7	GLRX2	Cerebral degeneration, unspecified	7.42719e-3	6.90389e-1	149	17257
Artery_Tibial	X250.13	3.82243	6.19400e-7	PRSS16	Type 1 diabetes with ophthalmic manifestations	2.12023e-2	1.42961e+0	157	13897
Brain_Hippocampus	X228.1	2.67269	6.43976e-7	G2E3	Hemangioma of skin and subcutaneous tissue	5.59998e-2	1.69998e+0	102	22676
Small_Intestine_Terminal_Ileum	X916	0.356085	6.59698e-7	HGFAC	Contusion	6.92408e-2	1.18204e+0	932	20941
Nerve_Tibial	X274.11	3.83582	7.37610e-7	SLC2A9	Gouty arthropathy	1.35026e-2	1.30189e+0	330	21410
Esophagus_Mucosa	X560.2	3.92358	7.79014e-7	SEMA5A	Impaction of intestine	1.26982e-2	2.12081e+0	42	16064
Spleen	X270.3	0.692948	7.87429e-7	MRPS10	Disorders of plasma protein metabolism	2.59296e-1	1.33844e+0	353	21469
Brain_Hippocampus	X530.6	40.6894	8.03581e-7	C5orf22	Diverticulum of esophagus, acquired	9.92443e-2	1.62165e+0	36	13499
Adrenal_Gland	X276	0.523936	8.17763e-7	NEK11	Disorders of fluid, electrolyte, and acid-base balance	6.52853e-2	1.07686e+0	7382	13027
Artery_Tibial	X425.8	3.04035	8.42894e-7	GRPEL1	Other cardiomyopathy	7.36720e-2	1.66177e+0	49	19395
Brain_Cerebellar_Hemisphere	X315.2	1.65631	1.04025e-6	LMF2	Speech and language disorder	5.45879e-2	1.63482e+0	49	22166
Artery_Coronary	X189.4	87.7544	1.05220e-6	GCNT2	Malignant neoplasm of other urinary organs	3.67770e-2	1.11489e+0	194	22100
Prostate	X275.1	-0.99576	1.06087e-6	BTN3A1	Disorders of iron metabolism	1.07256e-1	6.45853e-1	109	19909
Thyroid	X701.1	2.88083	1.07137e-6	BRD9	Keratoderma, acquired	4.20993e-2	1.46667e+0	62	20618
Prostate	X275.11	-1.84063	1.08662e-6	BTN3A1	Hereditary hemochromatosis	1.07256e-1	4.45696e-1	30	19909
Testis	X726.2	2.44295	1.14803e-6	NUCB2	Synoviopathy	1.31009e-1	2.10344e+0	36	17625
Whole_Blood	X713.5	-14.521	1.15340e-6	PPP3CB	Arthropathy associated with neurological disorders	1.65976e-2	7.08604e-1	100	18237
Adipose_Subcutaneous	X840.1	-1.5724	1.17369e-6	CUL7	Muscle/tendon sprain	1.46568e-1	6.40551e-1	47	20163
Esophagus_Muscularis	X568	-0.467636	1.22353e-6	MDGA1	Other disorders of peritoneum	4.30012e-1	7.56896e-1	326	19195
Whole_Blood	X260.22	2.92964	1.28395e-6	RPAP3	Nutritional marasmus	2.29667e-2	1.61706e+0	134	16572
Muscle_Skeletal	X275.1	-4.6746	1.33717e-6	BTN2A1	Disorders of iron metabolism	2.35091e-2	5.43244e-1	109	19909
Adrenal_Gland	X766	-0.955732	1.40936e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.12451e-1	8.29351e-1	611	20431
Cells_Transformed_fibroblasts	X599.8	6.5732	1.51558e-6	POMC	Other symptoms involving urinary system	1.95248e-2	1.76694e+0	34	16444
Esophagus_Mucosa	X202.2	-0.777606	1.55778e-6	CEP170B	Non-Hodgkins lymphoma	1.40607e-1	7.82614e-1	466	21574
Esophagus_Mucosa	X537	-1.13026	1.67007e-6	LILRB1	Other disorders of stomach and duodenum	1.22174e-1	7.93201e-1	432	19809
