geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
umls:C0033578	Prostatic Neoplasms	http://www.disgenet.org/web/DisGeNET/menu/umls:C0033578	57	39	25.86230248	1.507986384	0.000246151	0.043568779	1012;10207;10397;10417;10451;11005;11187;150084;1509;1636;1775;207;2272;23635;2886;3091;3169;3292;3490;3728;373156;3732;3915;4023;4507;4585;463;472;4883;51655;54790;55829;6293;6462;6817;7079;7164;7421;8000	ENSG00000140945;ENSG00000132849;ENSG00000104419;ENSG00000159674;ENSG00000134215;ENSG00000133710;ENSG00000184363;ENSG00000183067;ENSG00000117984;ENSG00000159640;ENSG00000167968;ENSG00000142208;ENSG00000189283;ENSG00000145687;ENSG00000141738;ENSG00000100644;ENSG00000129514;ENSG00000108786;ENSG00000163453;ENSG00000173801;ENSG00000197448;ENSG00000085117;ENSG00000135862;ENSG00000175445;ENSG00000099810;ENSG00000145113;ENSG00000140836;ENSG00000149311;ENSG00000113389;ENSG00000108551;ENSG00000168769;ENSG00000131871;ENSG00000223501;ENSG00000129214;ENSG00000196502;ENSG00000157150;ENSG00000111907;ENSG00000111424;ENSG00000167653
umls:C0027051	Myocardial Infarction	http://www.disgenet.org/web/DisGeNET/menu/umls:C0027051	13	12	5.898419865	2.034443169	0.000531378	0.04702695	1636;1952;2056;2147;2730;3816;3957;4049;4313;472;5581;7056	ENSG00000159640;ENSG00000143126;ENSG00000130427;ENSG00000180210;ENSG00000023909;ENSG00000167748;ENSG00000100079;ENSG00000226979;ENSG00000087245;ENSG00000149311;ENSG00000171132;ENSG00000178726
umls:C0021368	Inflammation	http://www.disgenet.org/web/DisGeNET/menu/umls:C0021368	12	11	5.44469526	2.020315091	0.001101928	0.061188025	10544;2056;207;2588;3146;3552;3620;4313;4982;55829;623	ENSG00000101000;ENSG00000130427;ENSG00000142208;ENSG00000141012;ENSG00000189403;ENSG00000115008;ENSG00000131203;ENSG00000087245;ENSG00000164761;ENSG00000131871;ENSG00000100739
umls:C0025202	melanoma	http://www.disgenet.org/web/DisGeNET/menu/umls:C0025202	20	16	9.074492099	1.76318408	0.001533527	0.061188025	10397;10743;2056;23512;3371;4507;472;5443;54663;54790;55862;57700;5909;6850;80723;83638	ENSG00000104419;ENSG00000108557;ENSG00000130427;ENSG00000178691;ENSG00000041982;ENSG00000099810;ENSG00000149311;ENSG00000115138;ENSG00000133316;ENSG00000168769;ENSG00000093144;ENSG00000151553;ENSG00000076864;ENSG00000165025;ENSG00000168917;ENSG00000175573
umls:C0006663	Calcinosis	http://www.disgenet.org/web/DisGeNET/menu/umls:C0006663	8	8	3.62979684	2.2039801	0.001728475	0.061188025	2056;2209;249;29108;4313;5155;5443;80781	ENSG00000130427;ENSG00000150337;ENSG00000162551;ENSG00000103490;ENSG00000087245;ENSG00000100311;ENSG00000115138;ENSG00000182871
umls:C0027626	Neoplasm Invasiveness	http://www.disgenet.org/web/DisGeNET/menu/umls:C0027626	13	11	5.898419865	1.864906238	0.004239956	0.109563711	1509;2056;3091;3732;3880;388591;4313;6123;6462;682;6935	ENSG00000117984;ENSG00000130427;ENSG00000100644;ENSG00000085117;ENSG00000171345;ENSG00000158286;ENSG00000087245;ENSG00000140986;ENSG00000129214;ENSG00000172270;ENSG00000148516
umls:C1458155	Mammary Neoplasms	http://www.disgenet.org/web/DisGeNET/menu/umls:C1458155	46	30	20.87133183	1.437378326	0.004333028	0.109563711	10397;1825;2063;207;23406;26150;27098;2852;2879;2886;29072;3091;3169;3490;3620;4313;472;4722;5243;5742;5889;6199;63943;659;6935;7421;8347;9156;9623;9821	ENSG00000104419;ENSG00000134762;ENSG00000160113;ENSG00000142208;ENSG00000103187;ENSG00000128408;ENSG00000079101;ENSG00000164850;ENSG00000167468;ENSG00000141738;ENSG00000181555;ENSG00000100644;ENSG00000129514;ENSG00000163453;ENSG00000131203;ENSG00000087245;ENSG00000149311;ENSG00000213619;ENSG00000085563;ENSG00000095303;ENSG00000108384;ENSG00000175634;ENSG00000204315;ENSG00000204217;ENSG00000148516;ENSG00000111424;ENSG00000180596;ENSG00000174371;ENSG00000213231;ENSG00000023287
umls:C0013182	Drug Allergy	http://www.disgenet.org/web/DisGeNET/menu/umls:C0013182	6	6	2.72234763	2.2039801	0.008547565	0.144637632	135;1636;3106;3305;57105;5742	ENSG00000128271;ENSG00000159640;ENSG00000234745;ENSG00000204390;ENSG00000152207;ENSG00000095303
umls:C0029408	Degenerative polyarthritis	http://www.disgenet.org/web/DisGeNET/menu/umls:C0029408	6	6	2.72234763	2.2039801	0.008547565	0.144637632	1509;373156;54829;5518;6389;7417	ENSG00000117984;ENSG00000197448;ENSG00000106819;ENSG00000105568;ENSG00000073578;ENSG00000165637
umls:C1956346	Coronary Artery Disease	http://www.disgenet.org/web/DisGeNET/menu/umls:C1956346	6	6	2.72234763	2.2039801	0.008547565	0.144637632	10221;1636;1952;2056;4023;4049	ENSG00000173334;ENSG00000159640;ENSG00000143126;ENSG00000130427;ENSG00000175445;ENSG00000226979
